task,split_mode,missingness_name,missingness_mechanism,missingness_scope,method,rac1p_equalized_odds_diff,sex_equalized_odds_diff,rac1p_x_sex_equalized_odds_diff
ACSEmployment,temporal,mcar_40_train_prediction,mcar,train_and_prediction,threshold_optimizer_eo,0.20932714874036076,0.023951571325756545,0.39423747006765253
ACSEmployment,temporal,mcar_50_train_prediction,mcar,train_and_prediction,threshold_optimizer_eo,0.23035078422499297,0.020074343923152053,0.4006810426688892
ACSEmployment,temporal,mcar_60_train_prediction,mcar,train_and_prediction,threshold_optimizer_eo,0.20497359288822,0.012123155436575812,0.3462824234851149
ACSEmployment,temporal,mcar_80_train_prediction,mcar,train_and_prediction,threshold_optimizer_eo,0.2407100785662575,0.009186827969887087,0.417032030116585
ACSEmployment,temporal,mnar_10_train_prediction,mnar,train_and_prediction,threshold_optimizer_eo,0.17426685363736408,0.03570121906708469,0.2701033747401646
ACSEmployment,temporal,mnar_20_train_prediction,mnar,train_and_prediction,threshold_optimizer_eo,0.15896917149146414,0.026003195893500294,0.24890367596186086
ACSEmployment,temporal,mnar_50_train_prediction,mnar,train_and_prediction,threshold_optimizer_eo,0.1800497610256044,0.021357233033518344,0.3247669485149183
ACSEmployment,temporal,none_observed,mcar,train_and_prediction,threshold_optimizer_eo,0.20973890625717917,0.06440688815597313,0.32171738958612467
ACSIncome,geographic,full,mcar,train_and_prediction,erm,0.3953731237563761,0.027768076956887548,0.47894459756701874
ACSIncome,geographic,mcar_10_train_prediction,mcar,train_and_prediction,erm,0.3953731237563761,0.027768076956887548,0.47894459756701874
ACSIncome,geographic,mcar_20_train_prediction,mcar,train_and_prediction,erm,0.3953731237563761,0.027768076956887548,0.47894459756701874
ACSIncome,geographic,mcar_40_train_prediction,mcar,train_and_prediction,erm,0.3953731237563761,0.027768076956887548,0.47894459756701874
ACSIncome,geographic,mcar_50_train_prediction,mcar,train_and_prediction,erm,0.3953731237563761,0.027768076956887548,0.47894459756701874
ACSIncome,geographic,mcar_60_train_prediction,mcar,train_and_prediction,erm,0.3953731237563761,0.027768076956887548,0.47894459756701874
ACSIncome,geographic,mcar_80_train_prediction,mcar,train_and_prediction,erm,0.3953731237563761,0.027768076956887548,0.47894459756701874
ACSIncome,geographic,mnar_10_train_prediction,mnar,train_and_prediction,erm,0.3953731237563761,0.027768076956887548,0.47894459756701874
ACSIncome,geographic,mnar_20_train_prediction,mnar,train_and_prediction,erm,0.3953731237563761,0.027768076956887548,0.47894459756701874
ACSIncome,geographic,mnar_50_train_prediction,mnar,train_and_prediction,erm,0.3953731237563761,0.027768076956887548,0.47894459756701874
ACSIncome,geographic,none_observed,mcar,train_and_prediction,erm,0.3953731237563761,0.027768076956887548,0.47894459756701874
ACSIncome,geographic,full,mcar,train_and_prediction,feature_mixing,0.3782621599898795,0.026830471008488448,0.4552004590502089
ACSIncome,geographic,mcar_10_train_prediction,mcar,train_and_prediction,feature_mixing,0.3782621599898795,0.026830471008488448,0.4552004590502089
ACSIncome,geographic,mcar_20_train_prediction,mcar,train_and_prediction,feature_mixing,0.3782621599898795,0.026830471008488448,0.4552004590502089
ACSIncome,geographic,mcar_40_train_prediction,mcar,train_and_prediction,feature_mixing,0.3782621599898795,0.026830471008488448,0.4552004590502089
ACSIncome,geographic,mcar_50_train_prediction,mcar,train_and_prediction,feature_mixing,0.3782621599898795,0.026830471008488448,0.4552004590502089
ACSIncome,geographic,mcar_60_train_prediction,mcar,train_and_prediction,feature_mixing,0.3782621599898795,0.026830471008488448,0.4552004590502089
ACSIncome,geographic,mcar_80_train_prediction,mcar,train_and_prediction,feature_mixing,0.3782621599898795,0.026830471008488448,0.4552004590502089
ACSIncome,geographic,mnar_10_train_prediction,mnar,train_and_prediction,feature_mixing,0.3782621599898795,0.026830471008488448,0.4552004590502089
ACSIncome,geographic,mnar_20_train_prediction,mnar,train_and_prediction,feature_mixing,0.3782621599898795,0.026830471008488448,0.4552004590502089
ACSIncome,geographic,mnar_50_train_prediction,mnar,train_and_prediction,feature_mixing,0.3782621599898795,0.026830471008488448,0.4552004590502089
ACSIncome,geographic,none_observed,mcar,train_and_prediction,feature_mixing,0.3782621599898795,0.026830471008488448,0.4552004590502089
ACSIncome,geographic,full,mcar,train_and_prediction,protected_group_mixing,0.3636537525835337,0.030041694779252965,0.44975004747861774
ACSIncome,geographic,mcar_10_train_prediction,mcar,train_and_prediction,protected_group_mixing,0.3692102073709086,0.0298645546139865,0.45617433395146356
ACSIncome,geographic,mcar_20_train_prediction,mcar,train_and_prediction,protected_group_mixing,0.3620413382536935,0.029633939328222135,0.44773847570784137
ACSIncome,geographic,mcar_40_train_prediction,mcar,train_and_prediction,protected_group_mixing,0.36546860484016874,0.02970510719739388,0.4580045225558221
ACSIncome,geographic,mcar_50_train_prediction,mcar,train_and_prediction,protected_group_mixing,0.3679701089530088,0.029186222106463842,0.451582508352966
ACSIncome,geographic,mcar_60_train_prediction,mcar,train_and_prediction,protected_group_mixing,0.36022156354716994,0.028309386643500963,0.45554874118498706
ACSIncome,geographic,mcar_80_train_prediction,mcar,train_and_prediction,protected_group_mixing,0.36329138263818506,0.02983714807487435,0.45448988814953584
ACSIncome,geographic,mnar_10_train_prediction,mnar,train_and_prediction,protected_group_mixing,0.3598366227123486,0.029222091827708324,0.44702387584689307
ACSIncome,geographic,mnar_20_train_prediction,mnar,train_and_prediction,protected_group_mixing,0.36998755198952915,0.028514623963964304,0.46137486375270187
ACSIncome,geographic,mnar_50_train_prediction,mnar,train_and_prediction,protected_group_mixing,0.3683597755258181,0.02909386449972807,0.44943553666535746
ACSIncome,geographic,none_observed,mcar,train_and_prediction,protected_group_mixing,0.3953731237563761,0.027768076956887548,0.47894459756701874
ACSIncome,geographic,full,mcar,train_and_prediction,reweighing,0.37715933825020004,0.060671218741905224,0.4762400171611324
ACSIncome,geographic,mcar_10_train_prediction,mcar,train_and_prediction,reweighing,0.3948465917483807,0.02956420732427793,0.4841740790147173
ACSIncome,geographic,mcar_20_train_prediction,mcar,train_and_prediction,reweighing,0.38818104854263796,0.031324890648551706,0.4760950940717054
ACSIncome,geographic,mcar_40_train_prediction,mcar,train_and_prediction,reweighing,0.37831931729789425,0.03725936222488387,0.47239303319476433
ACSIncome,geographic,mcar_50_train_prediction,mcar,train_and_prediction,reweighing,0.38163494183266145,0.039941759772774095,0.47542710579273895
ACSIncome,geographic,mcar_60_train_prediction,mcar,train_and_prediction,reweighing,0.3820175718088513,0.043369900084941876,0.4781611801432081
ACSIncome,geographic,mcar_80_train_prediction,mcar,train_and_prediction,reweighing,0.382363041021755,0.052181098193932664,0.47831202209836465
ACSIncome,geographic,mnar_10_train_prediction,mnar,train_and_prediction,reweighing,0.3905359428397991,0.02964450272738851,0.4775904775261658
ACSIncome,geographic,mnar_20_train_prediction,mnar,train_and_prediction,reweighing,0.3926865840183478,0.030418731732479908,0.4764422121875149
ACSIncome,geographic,mnar_50_train_prediction,mnar,train_and_prediction,reweighing,0.3886370255921313,0.037538171308607066,0.4823471675399054
ACSIncome,geographic,none_observed,mcar,train_and_prediction,reweighing,0.3953731237563761,0.027768076956887548,0.47894459756701874
ACSIncome,geographic,full,mcar,train_and_prediction,threshold_optimizer_eo,0.2034925894157074,0.02217772781536118,0.265285583855587
ACSIncome,geographic,mcar_10_train_prediction,mcar,train_and_prediction,threshold_optimizer_eo,0.2265709105794836,0.02211891352747442,0.2884803227675595
ACSIncome,geographic,mcar_20_train_prediction,mcar,train_and_prediction,threshold_optimizer_eo,0.19657431122292496,0.016695573657870676,0.24348435276056807
ACSIncome,geographic,mcar_40_train_prediction,mcar,train_and_prediction,threshold_optimizer_eo,0.19946472222660383,0.01898079216142202,0.2568703828358224
ACSIncome,geographic,mcar_50_train_prediction,mcar,train_and_prediction,threshold_optimizer_eo,0.20911919864256226,0.018293937049009543,0.268676147680359
ACSIncome,geographic,mcar_60_train_prediction,mcar,train_and_prediction,threshold_optimizer_eo,0.20899280939798492,0.018977800187632295,0.2651735333189577
ACSIncome,geographic,mcar_80_train_prediction,mcar,train_and_prediction,threshold_optimizer_eo,0.2014712749872338,0.019312437513117016,0.2668829517883077
ACSIncome,geographic,mnar_10_train_prediction,mnar,train_and_prediction,threshold_optimizer_eo,0.2343313994054303,0.018840862081313466,0.28250076101613436
ACSIncome,geographic,mnar_20_train_prediction,mnar,train_and_prediction,threshold_optimizer_eo,0.22350498407763708,0.019822577118857175,0.2768986845968863
ACSIncome,geographic,mnar_50_train_prediction,mnar,train_and_prediction,threshold_optimizer_eo,0.19885616788717972,0.019699633234650172,0.2545786974171053
ACSIncome,geographic,none_observed,mcar,train_and_prediction,threshold_optimizer_eo,0.3245121788703553,0.027272599382340595,0.404195793430791
ACSIncome,temporal,full,mcar,train_and_prediction,erm,0.5065246587244663,0.030725505976566907,0.6071934345221716
ACSIncome,temporal,mcar_10_train_prediction,mcar,train_and_prediction,erm,0.5065246587244663,0.030725505976566907,0.6071934345221716
ACSIncome,temporal,mcar_20_train_prediction,mcar,train_and_prediction,erm,0.5065246587244663,0.030725505976566907,0.6071934345221716
ACSIncome,temporal,mcar_40_train_prediction,mcar,train_and_prediction,erm,0.5065246587244663,0.030725505976566907,0.6071934345221716
ACSIncome,temporal,mcar_50_train_prediction,mcar,train_and_prediction,erm,0.5065246587244663,0.030725505976566907,0.6071934345221716
ACSIncome,temporal,mcar_60_train_prediction,mcar,train_and_prediction,erm,0.5065246587244663,0.030725505976566907,0.6071934345221716
ACSIncome,temporal,mcar_80_train_prediction,mcar,train_and_prediction,erm,0.5065246587244663,0.030725505976566907,0.6071934345221716
ACSIncome,temporal,mnar_10_train_prediction,mnar,train_and_prediction,erm,0.5065246587244663,0.030725505976566907,0.6071934345221716
ACSIncome,temporal,mnar_20_train_prediction,mnar,train_and_prediction,erm,0.5065246587244663,0.030725505976566907,0.6071934345221716
ACSIncome,temporal,mnar_50_train_prediction,mnar,train_and_prediction,erm,0.5065246587244663,0.030725505976566907,0.6071934345221716
ACSIncome,temporal,none_observed,mcar,train_and_prediction,erm,0.5065246587244663,0.030725505976566907,0.6071934345221716
ACSIncome,temporal,full,mcar,train_and_prediction,feature_mixing,0.5102877036771165,0.025714534477009564,0.5904489476805818
ACSIncome,temporal,mcar_10_train_prediction,mcar,train_and_prediction,feature_mixing,0.5102877036771165,0.025714534477009564,0.5904489476805818
ACSIncome,temporal,mcar_20_train_prediction,mcar,train_and_prediction,feature_mixing,0.5102877036771165,0.025714534477009564,0.5904489476805818
ACSIncome,temporal,mcar_40_train_prediction,mcar,train_and_prediction,feature_mixing,0.5102877036771165,0.025714534477009564,0.5904489476805818
ACSIncome,temporal,mcar_50_train_prediction,mcar,train_and_prediction,feature_mixing,0.5102877036771165,0.025714534477009564,0.5904489476805818
ACSIncome,temporal,mcar_60_train_prediction,mcar,train_and_prediction,feature_mixing,0.5102877036771165,0.025714534477009564,0.5904489476805818
ACSIncome,temporal,mcar_80_train_prediction,mcar,train_and_prediction,feature_mixing,0.5102877036771165,0.025714534477009564,0.5904489476805818
ACSIncome,temporal,mnar_10_train_prediction,mnar,train_and_prediction,feature_mixing,0.5102877036771165,0.025714534477009564,0.5904489476805818
ACSIncome,temporal,mnar_20_train_prediction,mnar,train_and_prediction,feature_mixing,0.5102877036771165,0.025714534477009564,0.5904489476805818
ACSIncome,temporal,mnar_50_train_prediction,mnar,train_and_prediction,feature_mixing,0.5102877036771165,0.025714534477009564,0.5904489476805818
ACSIncome,temporal,none_observed,mcar,train_and_prediction,feature_mixing,0.5102877036771165,0.025714534477009564,0.5904489476805818
ACSIncome,temporal,full,mcar,train_and_prediction,protected_group_mixing,0.48761556541210194,0.040727561371171214,0.5910984632263776
ACSIncome,temporal,mcar_10_train_prediction,mcar,train_and_prediction,protected_group_mixing,0.5390574319328002,0.03739177723404059,0.6290659833591679
ACSIncome,temporal,mcar_20_train_prediction,mcar,train_and_prediction,protected_group_mixing,0.5086229422971102,0.03988174307866259,0.5805324875488882
ACSIncome,temporal,mcar_40_train_prediction,mcar,train_and_prediction,protected_group_mixing,0.48525242301584637,0.04391682353527829,0.5580112911028572
ACSIncome,temporal,mcar_50_train_prediction,mcar,train_and_prediction,protected_group_mixing,0.49173778943131113,0.04030591607039544,0.5774410258917633
ACSIncome,temporal,mcar_60_train_prediction,mcar,train_and_prediction,protected_group_mixing,0.48597562033055275,0.04087458899023032,0.5828198060982243
ACSIncome,temporal,mcar_80_train_prediction,mcar,train_and_prediction,protected_group_mixing,0.5044043335162024,0.038681914739056286,0.6046404624900915
ACSIncome,temporal,mnar_10_train_prediction,mnar,train_and_prediction,protected_group_mixing,0.48090568249553406,0.03236552916169074,0.5952790454151662
ACSIncome,temporal,mnar_20_train_prediction,mnar,train_and_prediction,protected_group_mixing,0.5115539680070001,0.04085881061690739,0.5889335170619929
ACSIncome,temporal,mnar_50_train_prediction,mnar,train_and_prediction,protected_group_mixing,0.5134266991194446,0.039978310320227535,0.612500652497196
ACSIncome,temporal,none_observed,mcar,train_and_prediction,protected_group_mixing,0.5065246587244663,0.030725505976566907,0.6071934345221716
ACSIncome,temporal,full,mcar,train_and_prediction,reweighing,0.5194629851521464,0.08701376722184175,0.6149189662430676
ACSIncome,temporal,mcar_10_train_prediction,mcar,train_and_prediction,reweighing,0.504691701486997,0.03717269730017406,0.5844381177650136
