task,split_mode,missingness_name,missingness_mechanism,missingness_scope,method,accuracy,balanced_accuracy,brier,fit_seconds
ACSIncome,geographic,mcar_40_train_prediction,mcar,train_and_prediction,feature_mixing,0.7632866666666667,0.7562612876635244,0.16293819346931684,75.6301032733594
ACSIncome,geographic,mcar_50_train_prediction,mcar,train_and_prediction,feature_mixing,0.7632866666666667,0.7562612876635244,0.16293819346931684,75.58380386283703
ACSIncome,geographic,mcar_60_train_prediction,mcar,train_and_prediction,feature_mixing,0.7632866666666667,0.7562612876635244,0.16293819346931684,75.75774079104312
ACSIncome,geographic,mcar_80_train_prediction,mcar,train_and_prediction,feature_mixing,0.7632866666666667,0.7562612876635244,0.16293819346931684,75.8226465385424
ACSIncome,geographic,mnar_10_train_prediction,mnar,train_and_prediction,feature_mixing,0.7632866666666667,0.7562612876635244,0.16293819346931684,76.03274516455922
ACSIncome,geographic,mnar_20_train_prediction,mnar,train_and_prediction,feature_mixing,0.7632866666666667,0.7562612876635244,0.16293819346931684,76.03822606723755
ACSIncome,geographic,mnar_50_train_prediction,mnar,train_and_prediction,feature_mixing,0.7632866666666667,0.7562612876635244,0.16293819346931684,75.82230423581967
ACSIncome,geographic,none_observed,mcar,train_and_prediction,feature_mixing,0.7632866666666667,0.7562612876635244,0.16293819346931684,75.66737610343206
ACSIncome,geographic,full,mcar,train_and_prediction,protected_group_mixing,0.7636746666666666,0.7551937803571644,0.16381357644961198,74.63070160781831
ACSIncome,geographic,mcar_10_train_prediction,mcar,train_and_prediction,protected_group_mixing,0.7608226666666666,0.7516595506229045,0.16521581689052953,71.49205684250435
ACSIncome,geographic,mcar_20_train_prediction,mcar,train_and_prediction,protected_group_mixing,0.7616526666666666,0.7522653265676094,0.1646885458846921,72.39009164362463
ACSIncome,geographic,mcar_40_train_prediction,mcar,train_and_prediction,protected_group_mixing,0.7626113333333333,0.7534966107502019,0.16421360164302454,73.56222998382967
ACSIncome,geographic,mcar_50_train_prediction,mcar,train_and_prediction,protected_group_mixing,0.7628060000000001,0.7538887884187032,0.16409586100361437,73.67600527782069
ACSIncome,geographic,mcar_60_train_prediction,mcar,train_and_prediction,protected_group_mixing,0.763086,0.7543996681797246,0.16401965360057288,74.1078492788429
ACSIncome,geographic,mcar_80_train_prediction,mcar,train_and_prediction,protected_group_mixing,0.76355,0.7548388670710291,0.1638152191225626,74.40731248141806
ACSIncome,geographic,mnar_10_train_prediction,mnar,train_and_prediction,protected_group_mixing,0.7598966666666667,0.7510079534223576,0.16565145889526442,70.20307078278476
ACSIncome,geographic,mnar_20_train_prediction,mnar,train_and_prediction,protected_group_mixing,0.7607453333333333,0.7514369475765061,0.16522088961379072,71.64378274495299
ACSIncome,geographic,mnar_50_train_prediction,mnar,train_and_prediction,protected_group_mixing,0.7616613333333333,0.7526266452074104,0.16463405680823764,72.98503578984504
ACSIncome,geographic,none_observed,mcar,train_and_prediction,protected_group_mixing,0.7675926666666667,0.7558631330187257,0.16291040168796223,11.453183508488422
ACSIncome,geographic,full,mcar,train_and_prediction,reweighing,0.7658326666666667,0.7503176459210994,0.1639969701001883,11.475633936790942
ACSIncome,geographic,mcar_10_train_prediction,mcar,train_and_prediction,reweighing,0.7677406666666667,0.7555709942545452,0.16299254768504248,11.460068330434726
ACSIncome,geographic,mcar_20_train_prediction,mcar,train_and_prediction,reweighing,0.7674673333333334,0.7551604858791825,0.16308909689796353,11.466663023111053
ACSIncome,geographic,mcar_40_train_prediction,mcar,train_and_prediction,reweighing,0.7673486666666667,0.7542964480716908,0.16328359245372323,11.455599873743406
ACSIncome,geographic,mcar_50_train_prediction,mcar,train_and_prediction,reweighing,0.7672126666666667,0.7539145629202305,0.1633749017880347,11.486048527774802
ACSIncome,geographic,mcar_60_train_prediction,mcar,train_and_prediction,reweighing,0.76725,0.7534967564137922,0.16349640506195148,11.518413253081512
ACSIncome,geographic,mcar_80_train_prediction,mcar,train_and_prediction,reweighing,0.7665426666666667,0.7517915916242557,0.1637222907503149,11.516864557114602
ACSIncome,geographic,mnar_10_train_prediction,mnar,train_and_prediction,reweighing,0.767744,0.7555329488469907,0.16301218838563392,11.462708467440397
