method,metric,n_pairs,delta_vs_erm,ci_low,ci_high,cluster_delta_vs_erm,cluster_ci_low,cluster_ci_high,n_clusters,paired_t,raw_p,holm_p
protected_group_mixing,sex_fpr_diff,6160,0.001014522766060235,0.0008015383722921416,0.0012118291634385502,0.001014522766060235,0.00012792039294260148,0.001936072010702878,112,10.002754752285538,2.2334042248758266e-23,1.5633829574130786e-21
protected_group_mixing,sex_equalized_odds_diff,6160,0.002671746301760171,0.0024472303350338877,0.002897470391412699,0.002671746301760171,0.00178877319778841,0.0036401053734813242,112,22.23584192156137,1.9860938102607723e-105,2.0655375626712032e-103
protected_group_mixing,sex_calibration_brier_diff,6160,-3.454015284822115e-05,-8.190848891010866e-05,1.137621027670313e-05,-3.454015284822115e-05,-0.0003332180118282933,0.0002494260432655846,112,-1.4405217155406334,0.1497706819979251,1.0
protected_group_mixing,sex_predictive_parity_diff,6160,0.0011265571459491786,0.000961413036057011,0.0013086472680106187,0.0011265571459491786,0.0003828906384339177,0.001962592927520742,112,12.551917325859844,1.0581679287489548e-35,8.571160222866533e-34
protected_group_mixing,sex_worst_group_accuracy,6160,-0.001388093854358151,-0.0014742198219048466,-0.0013030219547506472,-0.001388093854358151,-0.001746010423663454,-0.0010440218787984806,112,-30.8838981924415,7.547521548901439e-195,9.434401936126799e-193
protected_group_mixing,sex_worst_group_fnr,6160,0.0019333858949949975,0.0015757479375914831,0.002317264419757611,0.0019333858949949975,3.883061279674919e-05,0.0038516091722679215,112,10.220501885927936,2.508063907182726e-24,1.7807253740997355e-22
protected_group_mixing,sex_worst_group_fpr,6160,0.0023791307975156314,0.0020559178837659727,0.002674546767370093,0.0023791307975156314,0.001107823733744148,0.003629974994807908,112,14.8749044068319,3.400171831367838e-49,3.0601546482310543e-47
protected_group_mixing,rac1p_x_sex_demographic_parity_diff,6160,-0.0013548730362013788,-0.0019555937820793026,-0.0007180909072491558,-0.0013548730362013788,-0.00405212070911725,0.001352570801715091,112,-4.012845526080712,6.070240501992065e-05,0.0020031793656573814
protected_group_mixing,rac1p_x_sex_demographic_parity_ratio,6160,0.004329288110757135,0.0034667532112180387,0.005145653678778621,0.004329288110757135,0.0010498837567806986,0.007723197828902569,112,9.991153850080883,2.506202474527488e-23,1.7292797074239667e-21
protected_group_mixing,rac1p_x_sex_equal_opportunity_diff,6160,-0.005558883711906121,-0.006741325172049479,-0.004322989543334779,-0.005558883711906121,-0.009892281276078396,-0.0018053316394387947,112,-8.621166452096706,8.328125515358341e-18,5.330000329829338e-16
protected_group_mixing,rac1p_x_sex_fpr_diff,6160,0.0030923322177617814,0.0020091151019447106,0.0041760769554915755,0.0030923322177617814,-0.0002749015421139762,0.006434498691317754,112,5.697695384310711,1.2705587158223376e-08,6.225737707529454e-07
protected_group_mixing,rac1p_x_sex_equalized_odds_diff,6160,-0.002923302939140732,-0.004475307571289337,-0.001569624999525132,-0.002923302939140732,-0.007884752890276589,0.0015700179461840596,112,-3.8213317258618074,0.00013404014576081342,0.004078700653053492
protected_group_mixing,rac1p_x_sex_calibration_brier_diff,6160,0.0017952645171701673,0.0016438975188538053,0.001949333400220488,0.0017952645171701673,0.001193292589330244,0.0024310738927120048,112,23.63370458365167,2.7973958459539103e-118,2.9932135551706843e-116
protected_group_mixing,rac1p_x_sex_predictive_parity_diff,6160,0.0004962801573542127,-0.0011482520956456344,0.0022130106676948747,0.0004962801573542127,-0.003992397227640725,0.005597714980511775,112,0.5797427761762823,0.562109297706584,1.0
